Product ID,Picture URL,Description,Health Facts,Highlights
U1,https://media.ulta.com/i/ulta/2564029?w=78&h=78&fmt=auto,The NatureLab. Tokyo Perfect Clean 2-In-1 Scalp Scrub and Clarifying Shampoo gently removes product build up and environmental impurities to reveal healthy scalp and immensely shiny hair.,"Cruelty Free, Sustainable Packaging Brand, Give Back"," A refreshingly light, soft scent with notes of violet and almond."
U2,https://media.ulta.com/i/ulta/2607939?w=78&h=78&fmt=auto,"Color Wow Dream Filter for Picture-Perfect Color is a hard water detox that removes color-distorting minerals in 3 minutes for brighter, shinier hair.",,"Fastest, easiest 3-minute hair detox, Removes minerals that dull, darken and distort color, and coarsen texture, Dramatically improves texture compromised by hard water residues, For all hair types, especially color-treated and fair shades (blonde, white, gray) Safe, non-harsh, non-stripping formula gently extracts calcium, magnesium, copper, iron, manganese, aluminum and chlorine deposits that build up in your hair from hard water, well water and pool water in under 3 minutes."
U3,https://media.ulta.com/i/ulta/2623373?w=78&h=78&fmt=auto,Viviscal Volumizing Dry Shampoo refreshes hair and absorbs oil between washes. Waterless shampoo for added hair texture and body.,Sustainable Packaging Brand,"Instantly refreshes and revives hair by removing oil to help reduce frequent washing of delicate, thin hair, Restores volume and leaves hair looking full with touchable body, Floral fresh signature fragrance infused with lush greens, dewy florals, and hints of ocean breeze "
U4,https://media.ulta.com/i/ulta/2620116?w=78&h=78&fmt=auto,"Garnier Fructis Hair Filler Moisture Repair Shampoo now introduces sulfate-free Hair Filler + Hyaluronic system, formulated with Hyaluronic Acid + Citric Acid + Repair Care Complex, fills hair with moisture.","Vegan, Cruelty Free","Garnier Frutis sulfate-free Hair Filler Hyaluronic shampoo, formulated with Hyaluronic Acid, Citric Acid, Repair Care Complex, fills hair with moisture for curly, wavy hair, Locks in up to 15X more moisture with up to 100 HR frizz control with use of Inner Fiber Repair Treatment and Moisture Repair Shampoo, Conditioner, and Serum vs. non-conditioning shampoo, Formulated without sulfates, parabens, silicones, phthalates, DMDM Hydantoin, and mineral oil "
U5,https://media.ulta.com/i/ulta/2273894?w=78&h=78&fmt=auto,Biolage Color Last Shampoo is essential for maintaining colored-treated hair health and repairing damage. This nourishing shampoo protects hair from environmental damage and strengthens hair while hydrating. Packaging may vary.,"Vegan, Cruelty Free, Sustainable Packaging Brand","Low pH shampoo for color treated hair helps prolong color vibrancy, Gently cleanses to prevent unnecessary stripping of color, Paraben-free, Suitable for color-treated hair and non color-treated "
U6,https://media.ulta.com/i/ulta/2604512?w=78&h=78&fmt=auto,"Perfect Hair Day Dry Shampoo. The #1 dry shampoo brand*. A dry shampoo that actually cleans hair by absorbing oil, sweat, and odor while also adding body and texture.*Source: Circana/U.S. Prestige Beauty Total Measured Market, Hair Sales, January-December 2022.","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back","Absorbs oil, sweat, and odor, Delivers a fresh, time-release scent, Makes hair look, feel, and smell clean "
U7,https://media.ulta.com/i/ulta/2565130?w=78&h=78&fmt=auto,"Pureology's Strength Cure Shampoo is a gentle, sulfate-free shampoo that fortifies and helps repair damaged, color-treated hair.","Vegan, Sustainable Packaging Brand","Helps heal damaged hair, Provides strength and softness, Protects color-treated hair, Highly concentrated formula allows for 75+ shampoos in a single bottle, 100% vegan, Recyclable packaging "
U8,https://media.ulta.com/i/ulta/2066538?w=78&h=78&fmt=auto,Forget the ordinary! Paul Mitchell's #1 best-selling Tea Tree Special Shampoo tingles and invigorates for a refreshed scalp and shiny hair.,"Cruelty Free, Sustainable Packaging Brand, Give Back","NOTE: Paul Mitchell's packaging is getting a makeover and the product you receive may vary from the images that are shown, Special ingredients + tea tree help wash away impurities, Refreshing tingle invigorates scalp, Ideal for all hair types, especially oily hair Reviving scent of tea tree provides an invigorating aromatherapy-inspired experience like no other, Clear post-consumer recycled (PCR) packaging (bottles + jars made from 100% PCR; tubes made from 25%; excludes pumps, caps + closures) features a label that does not need to be removed prior to recycling as part of Paul Mitchell’s long-standing commitment to the environment, Shampoo bottle has a raised S differentiator to increase accessibility, Color safe, Paraben free"
U9,https://media.ulta.com/i/ulta/2583168?w=78&h=78&fmt=auto,"Living Proof Perfect Hair Day (PhD) Advanced Clean Dry Shampoo is a dry shampoo that removes oil, sweat, and odor while adding softness and shine for that fresh-out-of-the-shower look and feel.","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back","Leaves no visible or textured residue, Provides pollution protection, The #1 dry shampoo brand*., *Source: Circana/U.S. Prestige Beauty Total Measured Market, Hair Sales, January-December 2022. "
U10,https://media.ulta.com/i/ulta/2617579?w=78&h=78&fmt=auto,"Redken Acidic Color Gloss Shampoo is a shine protection and color care sulfate-free shampoo for color-treated hair that extends color vibrancy for up to 32 washes*, provides intense molecular-level shine, and helps seal the cuticle to lock in shine.",Sustainable Packaging Brand,"Extends color vibrancy for up to 32 washes*, Intense molecular-level shine, 76% shinier hair**, Acidic pH formulas seal the cuticle and lock in shine, Glass-like shine, Ultra-conditioned hair, *system of acidic color gloss shampoo & conditioner, **acidic color gloss shampoo + glass gloss treatment vs. unwashed color treated hair "
